report	labels_above_90	labels_above_95
Malik was quiet, processing.	[]	[]
He then admitted he sometimes struggles to control his temper on the pitch, which gets him benched.	['Goals']	['Goals']
It was a moment of valuable self-reflection.\n Over lunch, Malik was more engaged, eagerly discussing football stats and highlights.	['Goals', 'Restorative']	[]
I noticed he got frustrated trying to calculate a percentage and discreetly offered assistance.	[]	[]
Malik accepted, a big step for him.\n In the afternoon, we ran passing drills.	['Goals']	[]
When Malik misplaced a pass, I could see his anger rising.	[]	[]
I called for a quick timeout and reminded him to breathe.	[]	[]
To my surprise, Malik actually paused and took a few deep breaths.	[]	[]
He was able to reset and continue calmly.\n As we ended the day, I commended Malik on his self-awareness and efforts to control his temper.	[]	[]
He shrugged it off, but I could tell he was pleased.	[]	[]
Malik left saying he might teach me a few moves next time.	[]	[]
Slowly but surely, we're making progress.	[]	[]
Cold wind whipped through the trees as Malik arrived, hands jammed in his pockets.	[]	[]
I suggested trying climbing to start the day, hoping to capitalize on his physical energy and challenge him with something new.\n At the climbing wall, Malik was clearly out of his comfort zone.	[]	[]
He struggled with the harness and grunted in frustration as he slipped off the holds.	[]	[]
Halfway up, he got stuck and started cursing under his breath.	[]	[]
I called up encouragement, reminding him to breathe and take his time.\n After several failed attempts, Malik came down defeated and angry.	[]	[]
He ripped off the harness, shouting that climbing was stupid and stomped off.	[]	[]
I gave him some space before approaching.	[]	[]
We talked about how trying new things can be tough and it's okay to struggle.	[]	[]
Malik was resistant but eventually rejoined the group.\n For a team-building exercise before lunch, the group worked together to navigate a low ropes course.	[]	[]
Malik initially hung back, but with encouragement, he started to engage.	[]	[]
When another boy got nervous on a balance beam, Malik unexpectedly offered a steadying hand and a few words of support.	[]	[]
It was a lovely moment of empathy.\n Over lunch, Malik was quieter than usual, likely still smarting from the climbing challenge.	['Goals']	[]
"I asked what he thought about the ropes course and he admitted it ""wasn't terrible""."	['Restorative']	[]
He even mentioned the other boy's determination on the balance beam.	[]	[]
A small glimmer of social connection.\n We spent the afternoon continuing to practice climbing techniques.	['Goals', 'Activities', 'Restorative', 'Strenghts']	['Goals']
Malik was hesitant but agreed to give it another shot.	[]	[]
This time, he made it a few holds higher before coming down.	[]	[]
While still visibly frustrated, he managed to avoid a full meltdown.	[]	[]
I praised his resilience in trying again despite the difficulty.\n Wrapping up, Malik was subdued but not hostile.	['Restorative', 'Strenghts']	['Strenghts']
When I highlighted his progress and willingness to help his peer, he just shrugged.	[]	[]
But for Malik, not brushing off praise is a sign of growth.	['Strenghts']	[]
Slowly chipping away at those walls.	[]	[]
The first hard frost of the season coated the ground as Malik arrived, football once again in tow.	[]	[]
I asked if he'd like to lead the group in some warm-up drills.	[]	[]
Malik looked surprised but agreed with a nod.\n On the pitch, Malik demonstrated a series of dribbling and passing exercises.	['Goals']	['Goals']
He was patient in his explanations, even offering constructive feedback.	[]	[]
The other boys responded well to his leadership.	['Activities']	[]
It was great to see Malik in a positive role.\n However, during a scrimmage, tensions flared.	['Goals', 'Strenghts']	['Goals']
Malik and another boy got into a heated argument over a foul.	[]	[]
I called a timeout before things escalated.	[]	[]
Malik was seething, fists clenched.	[]	[]
I asked him to name what he was feeling.	['Restorative', 'Boundaries']	[]
"He spat out ""angry"" and started to walk away."	[]	[]
I gently encouraged him to stay and work through it.\n Malik took some deep breaths and managed to express that he felt disrespected by the other boy's accusation.	[]	[]
We discussed different viewpoints and the importance of sportsmanship.	['Activities']	[]
Malik apologized for losing his cool and rejoined the game.	['Goals']	['Goals']
It was a big moment of growth for him.\n During lunch, conversation turned to weekend plans.	['Goals', 'Activities', 'Restorative']	['Activities']
Malik mentioned he was dreading a family gathering, anticipating arguments.	[]	[]
I suggested some role-play to practice staying calm in tense situations.	['Restorative']	[]
Malik played along, even laughing a bit at my poor acting.\n The afternoon turned blustery, so we moved indoors for a circuit training session.	[]	[]
Malik attacked the exercises with his usual intensity.	[]	[]
When he struggled with pull-ups, frustration crept in.	[]	[]
But before exploding, he paused, took a breath and asked for a spot.	['Strenghts']	[]
A clear sign of progress in managing his impulses.	['Restorative']	[]
As we cooled down and stretched, Malik seemed contemplative.	[]	[]
He said he was realizing how much anger was holding him back and that he wanted to do better.	[]	[]
I affirmed his insight and hard work.	['Presentation', 'Goals', 'Triggers', 'Restorative', 'Boundaries']	['Restorative']
The fact that Malik is developing this self-awareness is huge.	[]	[]
He's come so far already.	['Goals', 'Boundaries']	[]
Winter's chill was in full force as Malik arrived, bundled up and shivering.	[]	[]
He grumbled about the cold, but there was a playfulness to his complaints.	[]	[]
We decided to do an indoor climbing session to start the day.\n At the climbing wall, Malik's progress was evident.	[]	[]
He struggled less with the harness and his technique was much improved.	['Goals']	[]
About halfway up the wall, he paused, breathing heavily.	[]	[]
I could see frustration creeping in, but Malik closed his eyes, collected himself, and pushed on.	[]	[]
He made it to the top, beaming with pride.\n Coming down, Malik was buzzing with accomplishment.	['Strenghts']	[]
I asked him to reflect on how far he'd come since his first attempt.	[]	[]
Malik acknowledged he'd gained both skills and better control over his anger.	[]	[]
He set a goal to learn a more challenging climbing route by the end of the month.	[]	[]
His motivation was palpable.\n Over lunch, we discussed Malik's goals beyond the program.	['Goals']	[]
He mentioned wanting to try out for the school football team but was worried his temper would get in the way.	[]	[]
We brainstormed strategies to stay calm under pressure, like positive self-talk and visualization.	['Restorative']	[]
Malik seemed hesitant but willing to give them a shot.\n In the afternoon, we did a team-building activity involving blindfolds and obstacle courses.	[]	[]
Malik was initially skeptical but threw himself into the challenge.	[]	[]
When his partner got disoriented, Malik patiently talked him through it, showing great leadership and empathy.\n As we debriefed the activity, Malik shared that he's starting to see how his anger has impacted his relationships.	[]	[]
He's realizing that he has a choice in how he reacts to challenges.	[]	[]
This level of introspection is a real breakthrough for Malik.\n Wrapping up our session, I reflected back on the incredible growth I've witnessed in Malik.	[]	[]
From the defiant, closed-off boy I met six weeks ago, to the self-aware, motivated young man he's becoming.	[]	[]
Malik listened intently, a small smile playing at his lips.	[]	[]
He left with a promise to keep working on himself, on and off the field.	[]	[]
I have no doubt he will.	[]	[]
Emily arrived anxious, clinging to mom.	[]	[]
Hesitant to engage.\n Art seems to be her safe space.	['Presentation', 'Goals', 'Activities', 'Triggers', 'Restorative', 'Strenghts', 'Boundaries']	['Presentation', 'Triggers', 'Boundaries']
Did a collage independently, minimal verbal response to questions.	['Presentation', 'Goals', 'Activities', 'Triggers', 'Restorative', 'Strenghts', 'Boundaries']	['Presentation', 'Activities', 'Restorative']
Praised her work, got a smile.\n Group music time, Emily observed.	['Presentation', 'Activities', 'Triggers', 'Strenghts', 'Boundaries']	['Strenghts']
Sat near me, tapped foot to beat.	[]	[]
Didn't join in.\n Lunch, Emily ate alone.	['Presentation']	[]
Another child asked to join, Emily panicked.	[]	[]
Intervened, gave Emily space.\n Animals a big comfort.	['Presentation', 'Goals', 'Activities', 'Triggers', 'Restorative', 'Strenghts', 'Boundaries']	['Triggers', 'Restorative', 'Boundaries']
Calmed noticeably while petting rabbits.\n Read a story about bravery.	['Goals', 'Triggers', 'Strenghts', 'Boundaries']	[]
Emily listened closely.	[]	[]
Discussed trying new things, she seemed thoughtful.\n Overall, a challenging but positive start.	['Presentation', 'Goals', 'Activities', 'Triggers', 'Restorative', 'Strenghts', 'Boundaries']	['Goals', 'Activities', 'Restorative', 'Strenghts']
Art and animals key to building trust and encouraging participation.	['Presentation', 'Activities', 'Restorative', 'Boundaries']	['Activities']
Emily arrived cheerful, good week at school.\n Winter art project, Emily fully engaged.	['Presentation', 'Activities', 'Strenghts']	[]
Less anxious when focused on creating.\n Therapy dog visit, big step.	['Presentation', 'Goals', 'Activities', 'Triggers', 'Restorative', 'Strenghts', 'Boundaries']	['Activities', 'Triggers', 'Restorative', 'Strenghts']
Emily pet the dog with encouragement.	[]	[]
Outside comfort zone.\n Lunch, Emily sat with peers.	['Presentation', 'Triggers']	[]
Visibly nervous but joined their conversation briefly.	['Restorative']	[]
Checked in, reassured.\n Practiced relaxation techniques - breathing, muscle relaxation, visualization.	['Restorative', 'Strenghts']	['Strenghts']
Emily participated earnestly.\n Free play, Emily chose dolls.	['Presentation', 'Activities', 'Triggers']	['Presentation']
Parallel play with another girl.	['Presentation', 'Activities', 'Triggers']	[]
A step towards social interaction.\n Surprise hug goodbye.	['Presentation', 'Triggers', 'Strenghts']	[]
Mom thrilled with progress.	['Triggers', 'Boundaries']	[]
Emily starting to come out of her shell.	[]	[]
Feelings scavenger hunt.	['Presentation', 'Activities', 'Triggers', 'Boundaries']	['Activities', 'Triggers', 'Boundaries']
Emily hesitant at first but engaged.	['Triggers']	[]
Found pictures for different emotions, whispered examples.	['Presentation', 'Activities', 'Triggers', 'Restorative', 'Strenghts', 'Boundaries']	['Triggers', 'Boundaries']
More vocal than usual.\n Group games, Emily joined my team.	['Presentation', 'Goals', 'Activities', 'Triggers', 'Strenghts']	[]
Smiled and clapped with a match.	['Presentation', 'Triggers', 'Strenghts', 'Boundaries']	[]
Enjoyed the interaction.\n Lunch, Emily sat with friends.	['Presentation']	[]
A few whispered contributions to conversation.	['Presentation', 'Goals', 'Activities', 'Triggers', 'Restorative', 'Boundaries']	['Goals', 'Restorative']
Girls patient and welcoming.\n Role-played anxiety-provoking situations.	['Presentation', 'Activities', 'Triggers', 'Restorative', 'Strenghts']	[]
Emily practiced deep breathing, self-talk.	['Activities', 'Restorative']	[]
Determined to cope.\n Nature walk, Emily calm and engaged.	['Presentation', 'Activities', 'Triggers', 'Restorative', 'Strenghts', 'Boundaries']	[]
Pointed out tracks, frost.	['Activities', 'Triggers', 'Strenghts', 'Boundaries']	['Boundaries']
"Peaceful in nature.\n Clear ""thank you"" at goodbye."	['Presentation', 'Triggers', 'Restorative', 'Strenghts', 'Boundaries']	['Triggers', 'Restorative', 'Strenghts', 'Boundaries']
Finding her voice.	[]	[]
Emotionally and socially progressing well.	['Goals', 'Activities', 'Restorative']	['Restorative']
Celebrated Emily raising hand in class.	['Presentation', 'Activities', 'Triggers', 'Strenghts', 'Boundaries']	['Presentation']
Milestone.\n Led peers through obstacle course.	['Presentation', 'Goals', 'Activities', 'Triggers', 'Strenghts', 'Boundaries']	['Presentation', 'Triggers', 'Strenghts', 'Boundaries']
Took to leadership, whispered instructions and praise.	['Presentation', 'Activities', 'Triggers', 'Restorative', 'Strenghts', 'Boundaries']	['Restorative']
Coming out of shell.\n Group art, Emily chose to sit with friends.	['Presentation', 'Activities']	[]
More vocal contributions.	['Presentation', 'Goals', 'Activities', 'Triggers', 'Restorative', 'Boundaries']	['Presentation', 'Goals', 'Activities', 'Restorative', 'Boundaries']
Social confidence growing.\n Make-believe at lunch.	['Presentation', 'Activities', 'Triggers', 'Restorative', 'Strenghts', 'Boundaries']	['Triggers']
Emily pretended to be snow fairy.	[]	[]
Jumped in with laughter.\n Library visit, new setting.	['Presentation', 'Activities', 'Triggers', 'Strenghts', 'Boundaries']	['Activities', 'Triggers', 'Strenghts', 'Boundaries']
Emily nervous but used deep breathing.	[]	[]
Raised hand to answer question.\n Emily led closing circle.	['Presentation', 'Goals', 'Triggers', 'Strenghts', 'Boundaries']	['Strenghts']
Soft but clear voice.	['Boundaries']	[]
Peers celebrated her bravery.\n Fierce hug goodbye.	['Presentation', 'Triggers', 'Strenghts', 'Boundaries']	['Strenghts']
Remarkable transformation happening.	['Activities', 'Boundaries']	[]
Finding her place.	[]	[]
Emily invited friend over, huge social milestone.\n Made unicorn puppet, put on show.	['Presentation', 'Activities', 'Strenghts']	[]
Narrated with confidence.	['Presentation', 'Restorative']	[]
Expressiveness shining.\n Volunteered first for charades.	['Presentation', 'Activities', 'Triggers', 'Strenghts', 'Boundaries']	['Presentation', 'Triggers']
Nervous but determined.	[]	[]
Friends cheered bravery.\n Misunderstanding at lunch.	['Presentation', 'Goals', 'Activities', 'Triggers', 'Strenghts', 'Boundaries']	['Triggers', 'Boundaries']
Coached Emily to express feelings.	['Triggers', 'Restorative', 'Boundaries']	[]
She took a breath, calmly explained.	[]	[]
Resolved.\n Guest speaker on facing fears.	['Presentation', 'Goals', 'Activities', 'Triggers', 'Restorative', 'Strenghts', 'Boundaries']	['Presentation', 'Activities', 'Triggers', 'Boundaries']
Emily shared own experience.	['Presentation', 'Triggers', 'Boundaries']	[]
Remarkable courage.\n Gratitude exercise.	['Presentation', 'Goals', 'Activities', 'Triggers', 'Restorative', 'Strenghts', 'Boundaries']	['Presentation', 'Activities', 'Triggers', 'Restorative', 'Boundaries']
Emily thankful for friends, progress, feeling brave.	[]	[]
Insightful.\n Surprise thank-you card.	['Presentation', 'Triggers', 'Restorative', 'Strenghts', 'Boundaries']	['Presentation']
Extraordinary growth.	['Activities', 'Triggers', 'Restorative', 'Boundaries']	['Boundaries']
Becoming confident and resilient.	['Goals', 'Restorative']	['Restorative']
Emily did solo class presentation.	['Presentation', 'Activities']	['Presentation']
Amazing accomplishment.\n Watched video montage of Emily's journey.	['Presentation', 'Activities', 'Triggers', 'Strenghts', 'Boundaries']	['Strenghts']
She marveled at own transformation.\n Set goals - continue facing fears, join drama club.	['Activities', 'Strenghts']	['Activities', 'Strenghts']
"Determined.\n Friends surprised Emily with ""Bravery Award"" at lunch."	['Presentation', 'Triggers', 'Strenghts']	[]
Tearful, grateful speech.\n Graduation ceremony.	['Presentation', 'Triggers', 'Restorative', 'Strenghts', 'Boundaries']	['Presentation']
Presented Emily with courage certificate.	['Presentation', 'Goals', 'Activities', 'Restorative', 'Boundaries']	['Presentation', 'Restorative']
Mom proud, emotional.\n Group hug, promises to stay in touch.	['Triggers', 'Restorative', 'Strenghts', 'Boundaries']	[]
Emily at the center, shining bright.\n It's been a privilege to witness Emily's growth.	['Strenghts']	[]
She's taught me the meaning of courage.	['Goals']	[]
No doubt she'll continue to thrive.	[]	[]
The world is hers.	['Boundaries']	[]
Ryan arrived sullen, with his hood up and headphones blasting.	[]	[]
He barely acknowledged me when I greeted him.	[]	[]
I tried to engage him in a conversation about music, but I only got shrugs in response.	[]	[]
When I mentioned skateboarding, I noticed a glimmer of interest.\n During the skate park session, Ryan came alive.	[]	[]
He showed off impressive tricks and was focused on his technique.	[]	[]
I praised his skills and received a half-smile in return.\n At lunch, Ryan sat alone and inhaled his food.	['Goals']	[]
He became defensive when approached, so I gave him space.	[]	[]
The graffiti art project made Ryan perk up.	[]	[]
He was artistic and creative, and he opened up about his pieces and their meanings.\n We ended the day with a quick game of HORSE.	['Goals']	[]
Ryan was competitive but played fair.	['Goals']	[]
We high-fived at the end.	[]	[]
Despite his tough exterior, there were glimmers of engagement.	[]	[]
Skateboarding and art seem to be promising inroads for building trust slowly.	['Goals', 'Activities']	['Activities']
Ryan arrived agitated and snappy, mentioning trouble at school.\n I skipped the small talk and we hit the skate park.	['Strenghts']	[]
Ryan vented through tricks, pushing his limits.	[]	[]
I validated his feelings.\n During the group activity, Ryan struggled to share the spotlight.	[]	[]
He got frustrated and lashed out, so I removed him for a cool-down period.\n At lunch, we processed the earlier incident.	['Restorative']	[]
Ryan was defensive at first, but then showed remorse.	[]	[]
We brainstormed better responses together.\n We had an Anger Management 101 session, covering deep breathing, counting, and walking away.	['Restorative', 'Strenghts']	[]
Ryan rolled his eyes but tried the techniques.\n We ended the day with a rap cypher.	['Presentation', 'Strenghts']	['Strenghts']
Ryan's lyrics were raw and revealing.	[]	[]
I thanked him for sharing.\n It was a challenging day, but there was progress.	['Goals']	['Goals']
Ryan is recognizing his patterns and is open to new strategies, which is a good sign.	[]	[]
Ryan arrived calm and even chatty.	[]	[]
He was in a good mood.\n He went skateboarding with a peer and was patient, teaching him tricks.	[]	[]
I praised his leadership.\n During the group mural project, Ryan contributed ideas and compromised.	['Presentation', 'Strenghts']	[]
There were a few tense moments, but he used deep breathing techniques.\n At lunch, he sat with the group, cracked jokes, and laughed.	['Goals', 'Restorative']	[]
He seemed to enjoy the social connection.\n We worked on problem-solving scenarios.	['Goals', 'Restorative']	['Goals']
Ryan brainstormed solutions and considered consequences, demonstrating thinking before acting.\n We ended with a guided meditation.	['Presentation', 'Strenghts']	[]
Ryan was fidgety but tried to focus.	[]	[]
It was a small victory.\n The positive peer interactions were a highlight.	['Presentation', 'Goals', 'Activities', 'Triggers', 'Strenghts', 'Boundaries']	[]
Ryan's impulsivity is decreasing, and he's using coping tools.	[]	[]
This shows promising growth.	[]	[]
Ryan arrived excited, with a new skateboard in tow.	[]	[]
He was eager to show off.\n I put Ryan in charge of the skate lesson.	[]	[]
He thrived, patiently demonstrating and offering feedback.	[]	[]
He's a natural leader.\n During a group game, a conflict arose.	['Goals', 'Triggers', 'Boundaries']	['Goals']
Ryan started to argue, then paused, took a breath, and calmly expressed his frustration.\n At lunch, he was reflective.	[]	[]
He recognized his own growth in handling conflict and was proud of himself.	[]	[]
For the art project, they designed skateboards.	['Presentation', 'Goals', 'Activities', 'Boundaries']	['Presentation', 'Activities']
Ryan helped others and gave compliments.	[]	[]
He was socially engaged and supportive.\n We ended with a progress review.	['Presentation', 'Activities', 'Triggers', 'Restorative', 'Boundaries']	[]
Ryan was surprised by his own improvements.	[]	[]
He set new goals and beamed with pride.\n The leadership role was a game-changer.	['Goals', 'Activities', 'Triggers', 'Strenghts']	[]
Ryan rose to the occasion and handled conflict maturely.	[]	[]
His confidence is soaring	['Triggers', 'Boundaries']	[]
Ryan arrived pensive.	[]	[]
He shared worries about transitioning to high school.\n We did a career exploration activity.	['Activities']	['Activities']
Ryan liked the idea of teaching skateboarding, maybe art.	[]	[]
We discussed paths and steps to get there.\n We role-played tough conversations.	['Presentation', 'Goals', 'Activities', 'Triggers', 'Strenghts', 'Boundaries']	['Triggers']
Ryan practiced expressing needs and setting boundaries.	['Goals', 'Activities', 'Triggers', 'Restorative', 'Boundaries']	[]
He found his voice.\n Over lunch, we talked about making good choices.	['Goals']	[]
Ryan recognized past mistakes and is determined to do better.	[]	[]
During the skate competition, Ryan got frustrated with a trick and wanted to quit.	[]	[]
I coached him through it, and he persevered.\n We ended with a letter to his future self.	[]	[]
Ryan wrote about his hopes and promises.	['Triggers', 'Boundaries']	[]
It was insightful and mature.	['Restorative', 'Boundaries']	[]
Ryan is grappling with big questions and envisioning a positive future.	[]	[]
He's building crucial life skills and making inspiring progress.	[]	[]
Ryan arrived with a mix of excitement and nervousness.	[]	[]
It was the last session jitters.\n We reviewed Ryan's journey, including his struggles, triumphs, and lessons.	['Activities', 'Strenghts']	['Strenghts']
He reflected thoughtfully and was amazed at his progress.\n We created a transitional game plan.	['Presentation', 'Goals', 'Triggers', 'Restorative', 'Strenghts', 'Boundaries']	[]
Ryan identified supports, coping strategies, and goals.	[]	[]
He felt empowered and ready.\n For lunch, we had Ryan's favorite foods.	[]	[]
He shared funny stories and favorite memories.	[]	[]
There was laughter all around.	[]	[]
We had a surprise party with Ryan's family and friends.	[]	[]
They shared stories of his growth and impact.	['Activities', 'Restorative']	[]
Ryan choked up, feeling grateful.\n We ended with a group skate session.	[]	[]
Ryan was in his element, joyful, and free.	[]	[]
It was a fitting finale.\n Ryan's transformation has been remarkable.	['Triggers', 'Boundaries']	[]
He went from angry and closed-off to expressive and hopeful.	[]	[]
He has built skills for a bright future.\n It's been an honor guiding Ryan's journey.	[]	[]
He has shown incredible resilience and growth.	['Restorative']	[]
There's no doubt he'll continue to soar.	[]	[]
