,report,tokens,similarity,scaled_similarity,labels
10," Wrapping up, I noticed Malik's knuckles were bruised from punching the wall. We talked about healthier ways to release anger, like exercise or deep breathing. Malik was skeptical but agreed to try counting to ten next time he felt overwhelmed. A small victory on a challenging day.","[' ', 'wrapping', 'noticed', 'malik', 'knuckles', 'bruised', 'punching', 'wall', 'talked', 'healthier', 'ways', 'release', 'anger', 'like', 'exercise', 'deep', 'breathing', 'malik', 'skeptical', 'agreed', 'try', 'counting', 'time', 'felt', 'overwhelmed', 'small', 'victory', 'challenging', 'day']","[0.6883890163333918, 0.6852018415248492, 0.7561591723890002, 0.7276616560674098, 0.7250822839576404, 0.6997512350665995, 0.7067533824213122]","[0.8341946891614346, 0.8224462658169028, 0.872185979464034, 0.8445353376615293, 0.8244017667123295, 0.8261695836835802, 0.8450817288169896]","['Activities', 'Boundaries', 'Triggers']"
11,,['nan'],"[-0.12415589250099712, -0.10163662313558365, -0.06474855628907049, -0.1457571244260627, -0.08167027890558848, -0.11825090482169094, -0.12729750769856996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[]
12,"Autumn leaves crunched underfoot as Malik arrived, football in hand. He was more talkative than usual, excited about his team's weekend win. I seized on his good mood and suggested some football drills.","['autumn', 'leaves', 'crunched', 'underfoot', 'malik', 'arrived', 'football', 'hand', 'talkative', 'usual', 'excited', 'team', 'weekend', 'win', 'seized', 'good', 'mood', 'suggested', 'football', 'drills']","[0.5614927125087279, 0.5379532738104718, 0.6059554494247972, 0.5243920576962351, 0.5328259423057697, 0.6006091282646107, 0.5359966961568939]","[0.70391730809138, 0.668534071506676, 0.7125997352905998, 0.6479877447648748, 0.6279394621403616, 0.7260375802229316, 0.6720666798016309]","['Strenghts', 'Activities', 'Presentation']"
13," On the pitch, Malik's skills were on full display. His footwork and ball control were excellent. I praised his technique and he flashed a genuine smile. However, when I gave constructive feedback on his teamwork, Malik's demeanor shifted. He argued it wasn't his fault others weren't up to his level.","[' ', 'pitch', 'malik', 'skills', 'display', 'footwork', 'ball', 'control', 'excellent', 'praised', 'technique', 'flashed', 'genuine', 'smile', 'gave', 'constructive', 'feedback', 'teamwork', 'malik', 'demeanor', 'shifted', 'argued', 'fault', 'level']","[0.6968998776545394, 0.7008535032366247, 0.7586489276006289, 0.724488105443927, 0.7692834610264768, 0.8233592226981031, 0.759225396682746]","[0.8429323173677026, 0.8388062320702486, 0.8748312579917157, 0.8414667344814205, 0.8695699262493584, 0.9510117505945744, 0.89824771790932]","['Strenghts', 'Boundaries', 'Activities']"
14," We took a water break and I gently pointed out that even top players rely on their teammates. Malik was quiet, processing. He then admitted he sometimes struggles to control his temper on the pitch, which gets him benched. It was a moment of valuable self-reflection.","[' ', 'took', 'water', 'break', 'gently', 'pointed', 'players', 'rely', 'teammates', 'malik', 'quiet', 'processing', 'admitted', 'struggles', 'control', 'temper', 'pitch', 'gets', 'benched', 'moment', 'valuable', 'self', 'reflection']","[0.7424143459069033, 0.7256608888039364, 0.7348917798670981, 0.7681043926227804, 0.7800909476294546, 0.7539162145644138, 0.7715252216109677]","[0.8896594918085521, 0.8647362577881966, 0.8495901128040484, 0.8836406568229157, 0.8806138466028227, 0.8808753801354697, 0.910710215626928]","['Boundaries', 'Presentation', 'Triggers']"
15," Over lunch, Malik was more engaged, eagerly discussing football stats and highlights. I noticed he got frustrated trying to calculate a percentage and discreetly offered assistance. Malik accepted, a big step for him.","[' ', 'lunch', 'malik', 'engaged', 'eagerly', 'discussing', 'football', 'stats', 'highlights', 'noticed', 'got', 'frustrated', 'trying', 'calculate', 'percentage', 'discreetly', 'offered', 'assistance', 'malik', 'accepted', 'big', 'step']","[0.6617923151377944, 0.6809459845570365, 0.7335129965285504, 0.6422023019807043, 0.6526043763131784, 0.6745944230330696, 0.6880588867599824]","[0.8068893345338258, 0.8179978131442962, 0.8481252033451786, 0.7619020739032496, 0.7503382708398816, 0.8007615903409395, 0.8261399868921442]","['Activities', 'Boundaries', 'Goals']"
16," In the afternoon, we ran passing drills. When Malik misplaced a pass, I could see his anger rising. I called for a quick timeout and reminded him to breathe. To my surprise, Malik actually paused and took a few deep breaths. He was able to reset and continue calmly.","[' ', 'afternoon', 'ran', 'passing', 'drills', 'malik', 'misplaced', 'pass', 'anger', 'rising', 'called', 'quick', 'timeout', 'reminded', 'breathe', 'surprise', 'malik', 'actually', 'paused', 'took', 'deep', 'breaths', 'able', 'reset', 'continue', 'calmly']","[0.6380290453453562, 0.6323493890476236, 0.6589936059662065, 0.6552963053782096, 0.6412884708053811, 0.6286699159274712, 0.6447496734041764]","[0.7824929064195952, 0.7672020141293362, 0.7689509364012632, 0.7745630663476822, 0.7387748089780821, 0.7543785442996574, 0.7822579824125763]","['Presentation', 'Boundaries', 'Triggers']"
17," As we ended the day, I commended Malik on his self-awareness and efforts to control his temper. He shrugged it off, but I could tell he was pleased. Malik left saying he might teach me a few moves next time. Slowly but surely, we're making progress.","[' ', 'ended', 'day', 'commended', 'malik', 'self', 'awareness', 'efforts', 'control', 'temper', 'shrugged', 'tell', 'pleased', 'malik', 'left', 'saying', 'teach', 'moves', 'time', 'slowly', 'surely', 'making', 'progress']","[0.732188011164302, 0.73843446127022, 0.7809583139435888, 0.7336196353762072, 0.759551385966092, 0.7436382665802944, 0.7496808039479965]","[0.8791606824023094, 0.8780878889652138, 0.8985342069335044, 0.8502962901160812, 0.8596249440542185, 0.8704948107052711, 0.8885768920344423]","['Activities', 'Boundaries', 'Presentation']"
18,"Cold wind whipped through the trees as Malik arrived, hands jammed in his pockets. I suggested trying climbing to start the day, hoping to capitalize on his physical energy and challenge him with something new.","['cold', 'wind', 'whipped', 'trees', 'malik', 'arrived', 'hands', 'jammed', 'pockets', 'suggested', 'trying', 'climbing', 'start', 'day', 'hoping', 'capitalize', 'physical', 'energy', 'challenge', 'new']","[0.6504877313777541, 0.6626268831132414, 0.7161034056881282, 0.6493978455508901, 0.6610670597290059, 0.6523086343315697, 0.6529378896150343]","[0.7952835468004019, 0.7988496941182742, 0.8296281171212816, 0.768859665100535, 0.7589860911013687, 0.778253286418785, 0.7905544928454162]","['Activities', 'Goals', 'Presentation']"
19," At the climbing wall, Malik was clearly out of his comfort zone. He struggled with the harness and grunted in frustration as he slipped off the holds. Halfway up, he got stuck and started cursing under his breath. I called up encouragement, reminding him to breathe and take his time.","[' ', 'climbing', 'wall', 'malik', 'clearly', 'comfort', 'zone', 'struggled', 'harness', 'grunted', 'frustration', 'slipped', 'holds', 'halfway', 'got', 'stuck', 'started', 'cursing', 'breath', 'called', 'encouragement', 'reminding', 'breathe', 'time']","[0.6128256971959276, 0.6134433100857013, 0.6585737984428318, 0.6394376791103554, 0.6336507839563199, 0.631039763790805, 0.6485815338569849]","[0.7566180299090771, 0.7474403543454783, 0.7685049054733408, 0.7592288754771777, 0.7309700336085256, 0.756772054202836, 0.7861405215890279]","['Boundaries', 'Activities', 'Triggers']"
20," After several failed attempts, Malik came down defeated and angry. He ripped off the harness, shouting that climbing was stupid and stomped off. I gave him some space before approaching. We talked about how trying new things can be tough and it's okay to struggle. Malik was resistant but eventually rejoined the group.","[' ', 'failed', 'attempts', 'malik', 'came', 'defeated', 'angry', 'ripped', 'harness', 'shouting', 'climbing', 'stupid', 'stomped', 'gave', 'space', 'approaching', 'talked', 'trying', 'new', 'things', 'tough', 'okay', 'struggle', 'malik', 'resistant', 'eventually', 'rejoined', 'group']","[0.6221220831434291, 0.628845155451921, 0.6957261002236018, 0.6247470545236055, 0.6294075840900399, 0.6328606151637783, 0.6304956387127624]","[0.7661621125825203, 0.7635391989966526, 0.8079779370772519, 0.745024061162537, 0.7266340059002779, 0.7586110860921224, 0.7678154292994129]","['Activities', 'Boundaries', 'Presentation']"
21," For a team-building exercise before lunch, the group worked together to navigate a low ropes course. Malik initially hung back, but with encouragement, he started to engage. When another boy got nervous on a balance beam, Malik unexpectedly offered a steadying hand and a few words of support. It was a lovely moment of empathy.","[' ', 'team', 'building', 'exercise', 'lunch', 'group', 'worked', 'navigate', 'low', 'ropes', 'course', 'malik', 'initially', 'hung', 'encouragement', 'started', 'engage', 'boy', 'got', 'nervous', 'balance', 'beam', 'malik', 'unexpectedly', 'offered', 'steadying', 'hand', 'words', 'support', 'lovely', 'moment', 'empathy']","[0.7367367545056676, 0.7268539600576789, 0.7850312818990376, 0.7281445828198789, 0.7630489510319206, 0.7567789653937865, 0.747461615856232]","[0.8838306243297888, 0.8659833206118442, 0.9028615940702648, 0.8450022943117307, 0.8631990248222139, 0.88376671445547, 0.8863283538080892]","['Activities', 'Boundaries', 'Presentation']"
22," Over lunch, Malik was quieter than usual, likely still smarting from the climbing challenge. I asked what he thought about the ropes course and he admitted it ""wasn't terrible"". He even mentioned the other boy's determination on the balance beam. A small glimmer of social connection.","[' ', 'lunch', 'malik', 'quieter', 'usual', 'likely', 'smarting', 'climbing', 'challenge', 'asked', 'thought', 'ropes', 'course', 'admitted', 'terrible', 'mentioned', 'boy', 'determination', 'balance', 'beam', 'small', 'glimmer', 'social', 'connection']","[0.7627573791017567, 0.7547638315977983, 0.8055786944848878, 0.7723075489448946, 0.7628832125141077, 0.7546227608435424, 0.7989235233493076]","[0.9105445531363319, 0.8951562330437584, 0.9246925070286558, 0.8877048172497563, 0.863029660467904, 0.8815889810135317, 0.9384708768455232]","['Boundaries', 'Activities', 'Presentation']"
23," We spent the afternoon continuing to practice climbing techniques. Malik was hesitant but agreed to give it another shot. This time, he made it a few holds higher before coming down. While still visibly frustrated, he managed to avoid a full meltdown. I praised his resilience in trying again despite the difficulty.","[' ', 'spent', 'afternoon', 'continuing', 'practice', 'climbing', 'techniques', 'malik', 'hesitant', 'agreed', 'shot', 'time', 'holds', 'higher', 'coming', 'visibly', 'frustrated', 'managed', 'avoid', 'meltdown', 'praised', 'resilience', 'trying', 'despite', 'difficulty']","[0.7295823307823687, 0.7515617407280645, 0.7501399656472322, 0.7369561096478238, 0.7371065434526012, 0.7480540751867081, 0.7513234497313696]","[0.8764855752019222, 0.891809233885862, 0.8657907811436095, 0.8535224291555769, 0.8366890791143773, 0.8749547095002612, 0.8902412628239121]","['Goals', 'Boundaries', 'Presentation']"
24," Wrapping up, Malik was subdued but not hostile. When I highlighted his progress and willingness to help his peer, he just shrugged. But for Malik, not brushing off praise is a sign of growth. Slowly chipping away at those walls.","[' ', 'wrapping', 'malik', 'subdued', 'hostile', 'highlighted', 'progress', 'willingness', 'help', 'peer', 'shrugged', 'malik', 'brushing', 'praise', 'sign', 'growth', 'slowly', 'chipping', 'away', 'walls']","[0.6961690002701778, 0.7067325754122522, 0.7231108857846582, 0.6974126170190806, 0.7027644960824273, 0.716275780390578, 0.7111811475196997]","[0.8421819661860832, 0.8449513573716657, 0.8370733215919579, 0.8152866164556674, 0.8015957359658787, 0.8428591203793352, 0.8495680538463928]","['Boundaries', 'Goals', 'Strenghts']"
25,"The first hard frost of the season coated the ground as Malik arrived, football once again in tow. I asked if he'd like to lead the group in some warm-up drills. Malik looked surprised but agreed with a nod.","['hard', 'frost', 'season', 'coated', 'ground', 'malik', 'arrived', 'football', 'tow', 'asked', 'like', 'lead', 'group', 'warm', 'drills', 'malik', 'looked', 'surprised', 'agreed', 'nod']","[0.5834530914855295, 0.5553115209568167, 0.5696331176303848, 0.5385598973115209, 0.5258419648175293, 0.5712265213452209, 0.5548242404646552]","[0.7264628084264932, 0.6866778534744263, 0.6740085180005129, 0.6616870622980626, 0.6208026972324815, 0.6963615990214086, 0.6911432300235177]","['Presentation', 'Strenghts', 'Boundaries']"
26," On the pitch, Malik demonstrated a series of dribbling and passing exercises. He was patient in his explanations, even offering constructive feedback. The other boys responded well to his leadership. It was great to see Malik in a positive role.","[' ', 'pitch', 'malik', 'demonstrated', 'series', 'dribbling', 'passing', 'exercises', 'patient', 'explanations', 'offering', 'constructive', 'feedback', 'boys', 'responded', 'leadership', 'great', 'malik', 'positive', 'role']","[0.820904365221453, 0.8243098527222723, 0.8221958168036244, 0.8263813413874126, 0.8504868664504379, 0.8718631783440506, 0.8377001006535972]","[0.9702408314397392, 0.9678495086590162, 0.94234762294379, 0.9399904213368128, 0.9525498062970655, 0.9999999999999999, 0.9777602983593646]","['Strenghts', 'Boundaries', 'Presentation']"
27," However, during a scrimmage, tensions flared. Malik and another boy got into a heated argument over a foul. I called a timeout before things escalated. Malik was seething, fists clenched. I asked him to name what he was feeling. He spat out ""angry"" and started to walk away. I gently encouraged him to stay and work through it.","[' ', 'scrimmage', 'tensions', 'flared', 'malik', 'boy', 'got', 'heated', 'argument', 'foul', 'called', 'timeout', 'things', 'escalated', 'malik', 'seething', 'fists', 'clenched', 'asked', 'feeling', 'spat', 'angry', 'started', 'walk', 'away', 'gently', 'encouraged', 'stay', 'work']","[0.5535482113064887, 0.5271260881353795, 0.6088513719777006, 0.584939568237642, 0.5689786623345479, 0.5319801756936817, 0.5659663317887569]","[0.6957611303356772, 0.6572169094362772, 0.7156765525259831, 0.7065329849196166, 0.6648830897594705, 0.6567233933652938, 0.70243268239429]","['Activities', 'Triggers', 'Boundaries']"
28, Malik took some deep breaths and managed to express that he felt disrespected by the other boy's accusation. We discussed different viewpoints and the importance of sportsmanship. Malik apologized for losing his cool and rejoined the game. It was a big moment of growth for him.,"[' ', 'malik', 'took', 'deep', 'breaths', 'managed', 'express', 'felt', 'disrespected', 'boy', 'accusation', 'discussed', 'different', 'viewpoints', 'importance', 'sportsmanship', 'malik', 'apologized', 'losing', 'cool', 'rejoined', 'game', 'big', 'moment', 'growth']","[0.705284877739845, 0.7100296614820465, 0.7520125279363673, 0.713300835946191, 0.7125824628054839, 0.754365454068251, 0.7193896469481094]","[0.8515407308396596, 0.8483976506681551, 0.867780313605299, 0.8306494213736774, 0.8116284888626092, 0.8813291051268372, 0.8578851157548772]","['Strenghts', 'Activities', 'Boundaries']"
29," During lunch, conversation turned to weekend plans. Malik mentioned he was dreading a family gathering, anticipating arguments. I suggested some role-play to practice staying calm in tense situations. Malik played along, even laughing a bit at my poor acting.","[' ', 'lunch', 'conversation', 'turned', 'weekend', 'plans', 'malik', 'mentioned', 'dreading', 'family', 'gathering', 'anticipating', 'arguments', 'suggested', 'role', 'play', 'practice', 'staying', 'calm', 'tense', 'situations', 'malik', 'played', 'laughing', 'bit', 'poor', 'acting']","[0.772380683198247, 0.7446667884573849, 0.7965383968771663, 0.761678231946037, 0.7663967482411916, 0.7574413697518335, 0.760582993374292]","[0.9204242645002165, 0.8846022555762119, 0.9150875044830785, 0.8774270054815346, 0.8666200612848963, 0.8844357326719658, 0.8996232696564839]","['Presentation', 'Activities', 'Boundaries']"
30," The afternoon turned blustery, so we moved indoors for a circuit training session. Malik attacked the exercises with his usual intensity. When he struggled with pull-ups, frustration crept in. But before exploding, he paused, took a breath and asked for a spot. A clear sign of progress in managing his impulses. As we cooled down and stretched, Malik seemed contemplative. He said he was realizing how much anger was holding him back and that he wanted to do better. I affirmed his insight and hard work. The fact that Malik is developing this self-awareness is huge. He's come so far already.","[' ', 'afternoon', 'turned', 'blustery', 'moved', 'indoors', 'circuit', 'training', 'session', 'malik', 'attacked', 'exercises', 'usual', 'intensity', 'struggled', 'pull', 'ups', 'frustration', 'crept', 'exploding', 'paused', 'took', 'breath', 'asked', 'spot', 'clear', 'sign', 'progress', 'managing', 'impulses', 'cooled', 'stretched', 'malik', 'contemplative', 'said', 'realizing', 'anger', 'holding', 'wanted', 'better', 'affirmed', 'insight', 'hard', 'work', 'fact', 'malik', 'developing', 'self', 'awareness', 'huge', 'come', 'far']","[0.7533683055969077, 0.7601924136272629, 0.7872443934412526, 0.7702845042623757, 0.7821534210824507, 0.7657573472125894, 0.7796502238450188]","[0.9009053133001892, 0.9008304815958302, 0.9052129482976374, 0.8857486734591565, 0.8827214404757355, 0.8928347420408325, 0.9189426760390341]","['Boundaries', 'Activities', 'Presentation']"
31,"Winter's chill was in full force as Malik arrived, bundled up and shivering. He grumbled about the cold, but there was a playfulness to his complaints. We decided to do an indoor climbing session to start the day.","['winter', 'chill', 'force', 'malik', 'arrived', 'bundled', 'shivering', 'grumbled', 'cold', 'playfulness', 'complaints', 'decided', 'indoor', 'climbing', 'session', 'start', 'day']","[0.6688437543167257, 0.6111012250206822, 0.658288133043159, 0.6533413248127076, 0.6386584253422212, 0.6091265646448666, 0.6290599805214266]","[0.814128655154821, 0.7449922799280924, 0.7682013958976498, 0.7726727358339793, 0.7360872264079473, 0.7346400600028603, 0.766360783640861]","['Presentation', 'Triggers', 'Activities']"
32," At the climbing wall, Malik's progress was evident. He struggled less with the harness and his technique was much improved. About halfway up the wall, he paused, breathing heavily. I could see frustration creeping in, but Malik closed his eyes, collected himself, and pushed on. He made it to the top, beaming with pride.","[' ', 'climbing', 'wall', 'malik', 'progress', 'evident', 'struggled', 'harness', 'technique', 'improved', 'halfway', 'wall', 'paused', 'breathing', 'heavily', 'frustration', 'creeping', 'malik', 'closed', 'eyes', 'collected', 'pushed', 'beaming', 'pride']","[0.6810509091752155, 0.6804699391363278, 0.6808226594121468, 0.694456628975175, 0.7026135835792979, 0.7053821218466783, 0.700813457505516]","[0.8266610624617984, 0.8175002246350841, 0.7921435483056233, 0.8124283811892207, 0.8014415219727341, 0.831856692750926, 0.8390632447216574]","['Boundaries', 'Strenghts', 'Presentation']"
33," Coming down, Malik was buzzing with accomplishment. I asked him to reflect on how far he'd come since his first attempt. Malik acknowledged he'd gained both skills and better control over his anger. He set a goal to learn a more challenging climbing route by the end of the month. His motivation was palpable.","[' ', 'coming', 'malik', 'buzzing', 'accomplishment', 'asked', 'reflect', 'far', 'come', 'attempt', 'malik', 'acknowledged', 'gained', 'skills', 'better', 'control', 'anger', 'set', 'goal', 'learn', 'challenging', 'climbing', 'route', 'end', 'month', 'motivation', 'palpable']","[0.7409726721146832, 0.7979365716905413, 0.8076035803407916, 0.7401217582278407, 0.7562770928798906, 0.794854042261086, 0.7785669568362287]","[0.8881794054676033, 0.9402827240188579, 0.9268438779950107, 0.8565833916081266, 0.8562790197531934, 0.9222219566489354, 0.9178450821542926]","['Goals', 'Activities', 'Strenghts']"
34," Over lunch, we discussed Malik's goals beyond the program. He mentioned wanting to try out for the school football team but was worried his temper would get in the way. We brainstormed strategies to stay calm under pressure, like positive self-talk and visualization. Malik seemed hesitant but willing to give them a shot.","[' ', 'lunch', 'discussed', 'malik', 'goals', 'program', 'mentioned', 'wanting', 'try', 'school', 'football', 'team', 'worried', 'temper', 'way', 'brainstormed', 'strategies', 'stay', 'calm', 'pressure', 'like', 'positive', 'self', 'talk', 'visualization', 'malik', 'hesitant', 'willing', 'shot']","[0.7314037833094424, 0.7564501788439975, 0.8243628042646329, 0.7466226857990972, 0.7873078669715039, 0.7560450020039852, 0.7762069268104357]","[0.878355559258341, 0.8969188947053305, 0.9446499719352042, 0.8628693373470107, 0.8879886493982301, 0.8830254227171941, 0.915453839272254]","['Activities', 'Boundaries', 'Goals']"
35," In the afternoon, we did a team-building activity involving blindfolds and obstacle courses. Malik was initially skeptical but threw himself into the challenge. When his partner got disoriented, Malik patiently talked him through it, showing great leadership and empathy.","[' ', 'afternoon', 'team', 'building', 'activity', 'involving', 'blindfolds', 'obstacle', 'courses', 'malik', 'initially', 'skeptical', 'threw', 'challenge', 'partner', 'got', 'disoriented', 'malik', 'patiently', 'talked', 'showing', 'great', 'leadership', 'empathy']","[0.7641854425967817, 0.7725411835148258, 0.8096864262452564, 0.7700974280044051, 0.7989470341995988, 0.8171569300879958, 0.7826439120033654]","[0.9120106665417362, 0.9137380860630844, 0.9290568295019769, 0.8855677837024646, 0.8998824449281098, 0.9447475304248377, 0.9219759575742061]","['Strenghts', 'Activities', 'Boundaries']"
36," As we debriefed the activity, Malik shared that he's starting to see how his anger has impacted his relationships. He's realizing that he has a choice in how he reacts to challenges. This level of introspection is a real breakthrough for Malik.","[' ', 'debriefed', 'activity', 'malik', 'shared', 'starting', 'anger', 'impacted', 'relationships', 'realizing', 'choice', 'reacts', 'challenges', 'level', 'introspection', 'real', 'breakthrough', 'malik']","[0.8468616038105402, 0.8342743213730752, 0.8350202094219277, 0.868573813851824, 0.8485422226041023, 0.8563010060245976, 0.8596495078137059]","[0.9968896853564722, 0.9782649120750645, 0.955973095144957, 0.980787613674919, 0.9505626197713041, 0.9842824452413651, 1.0]","['Boundaries', 'Presentation', 'Strenghts']"
